gene,in_top25_RF_importance,in_top25_XGB_importance,in_top25_RF_SHAP,in_top25_XGB_SHAP,in_top25_MLP_permutation,agreement_count,rf_importance,xgb_importance,rf_shap_importance,xgb_shap_importance,mlp_perm_importance_mean
gene_12069,False,False,False,False,False,0,0.002286775265301444,0.0004335974,0.0010308503742286713,0.00029012092,0.0
gene_13809,False,False,False,False,False,0,8.86948555593031e-05,0.00019657792,0.00019065580194883928,0.00025120593,0.0
gene_4224,False,False,False,False,False,0,0.0019559234798373687,0.000104033235,0.0005939840590313844,0.0017214323,0.0
gene_19606,False,False,False,False,False,0,0.0021939620707631395,0.00029121668,0.0009635183515883142,0.0027048418,0.0
gene_2811,False,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
gene_14845,False,False,False,False,False,0,0.0012180294688201908,0.0,0.0004772680195620443,0.0,0.0
gene_17426,False,False,False,False,False,0,0.002267581457657059,0.0,0.0006294732184166221,0.0,0.0
gene_6760,False,False,False,False,False,0,0.0020073892893797923,0.0,0.0005495971979898524,0.0,0.0
gene_17904,False,False,False,False,False,0,0.0064141665202319485,0.002570539,0.0024254181173354226,0.021239439,0.0
gene_18178,False,False,False,False,False,0,0.004651043668192344,0.00092733686,0.0019439425851537817,0.030432897,0.0
gene_16316,False,False,False,False,False,0,0.0026294600034808737,0.0,0.0011609578710164012,0.0,0.0
gene_14190,False,False,False,False,False,0,0.002546392730317276,0.0016753839,0.0012035207748865415,0.0019497807,0.0
gene_9173,False,False,False,False,False,0,0.008324424393831497,0.00068493345,0.0038561222770137037,0.0004908446,0.0
gene_19623,False,False,False,False,False,0,0.001065846412930331,0.00035838163,0.0004655226279566299,0.0014929771,0.0
gene_18285,False,False,False,False,False,0,3.1031509108655103e-05,0.0,5.479119743743722e-05,0.0,0.0
gene_5576,False,False,False,False,False,0,0.005004994051832566,0.0003938639,0.001977508439923827,0.0062059597,0.0
gene_13527,False,False,False,False,False,0,0.0002920279393991567,0.0,0.0003076617106201728,0.0,0.0
gene_4442,False,False,False,False,False,0,0.0038729566269761766,0.0,0.0016211210389972873,0.0,0.0
gene_15302,False,False,False,False,False,0,0.0010297168062194295,0.0,0.00040821909844182834,0.0,0.0
gene_9626,False,False,False,False,False,0,0.006265390608110051,0.00012554509,0.0026415782013562124,0.00022299889,0.0
gene_5581,False,False,False,False,False,0,0.0009567004788413561,0.0,0.0006576666813876062,0.0,0.0
gene_5657,False,False,False,False,False,0,0.0049961568887298535,0.0,0.0017510869019053351,0.0,0.0
gene_19153,False,False,False,False,False,0,0.001281597413998082,0.0,0.0007313297899952347,0.0,0.0
gene_15899,False,False,False,False,False,0,0.007613327867774058,0.0025736475,0.003090841476037638,0.01989207,0.0
gene_3970,False,False,False,False,False,0,0.0011552911419571014,0.0,0.0005789356303080041,0.0,0.0
gene_11259,False,False,False,False,False,0,0.002613039075478641,0.00018454243,0.0010443236099450819,0.0020277733,0.0
gene_5625,False,False,False,False,False,0,0.0014666944707932453,0.0,0.0006114030060902632,0.0,0.0
gene_6361,False,False,False,False,False,0,0.0038327179379261346,0.0,0.0016598382727131477,0.0,0.0
gene_13976,False,False,False,False,False,0,0.0024994083727521445,0.0,0.0011302459485635226,0.0,-0.0007933884297520455
gene_6611,False,False,False,False,False,0,0.006513537861015831,0.001014365,0.0028027939016492076,0.0043076007,0.0
gene_14427,False,False,False,False,False,0,0.0013889158708850313,0.00048142433,0.00072622407279974,0.0001727375,0.0
gene_2778,False,False,False,False,False,0,0.004342907434182239,0.0,0.0018662034850223852,0.0,0.0
gene_7116,False,False,False,False,False,0,0.007576487842984779,0.00054747565,0.0033709353628589996,0.0007817598,0.0
gene_18632,False,False,False,False,False,0,0.008069876233731092,0.0,0.0027797753199660627,0.0,0.0
gene_16173,False,False,False,False,False,0,6.558882816038236e-05,0.0,8.263083759697804e-05,0.0,0.0
gene_16259,False,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
gene_15803,False,False,False,False,False,0,0.00391925624881607,0.0,0.001368143610343799,0.0,0.0
gene_3541,False,False,False,False,False,0,0.0015123923520311455,8.8674475e-05,0.000725238323549244,6.730307e-05,0.0
gene_6937,False,False,False,False,False,0,0.006879341384430176,0.0038295959,0.0025246775642065516,0.00052239286,0.0
gene_12568,False,False,False,False,False,0,0.0023818670433454377,0.00020783678,0.0006825596136879447,0.0071678055,0.0
gene_10411,False,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
gene_7954,False,False,False,False,False,0,0.0023664700865073736,0.0,0.0008598429603595379,0.0,0.0
gene_12847,False,False,False,False,False,0,0.0034298869017148083,0.0,0.001132485392515146,0.0,0.0
gene_3217,False,False,False,False,False,0,0.0026543738042480946,0.0,0.0011150944793105052,0.0,0.0
gene_16337,False,False,False,False,False,0,0.0038335097750362163,0.0,0.0018826553050382503,0.0,0.0
gene_13497,False,False,False,False,False,0,0.00013762484138715747,0.0,0.00016703813686246388,0.0,0.0
gene_5442,False,False,False,False,False,0,0.0015614412279191358,0.0,0.0005095600064370613,0.0,0.0
gene_12848,False,False,False,False,False,0,0.003729859601363287,0.0,0.0013768556199287999,0.0,0.0
gene_13507,False,False,False,False,False,0,0.004735693607998339,1.3040909e-05,0.0016177732266724355,0.00067946955,0.0
gene_16132,False,False,False,False,False,0,0.0013961208714651976,0.0,0.0007148222790329556,0.0,0.0
gene_12262,False,False,False,False,False,0,0.0,0.0007357263,0.0,0.00046274526,0.0
gene_9979,False,False,False,False,False,0,3.082068717852775e-05,0.00039277406,4.014160292497622e-05,0.002196849,0.0
gene_17585,False,False,False,False,False,0,0.0026263075888014516,0.0,0.0009007262088311951,0.0,0.0
gene_4429,False,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0
gene_13833,False,False,False,False,False,0,0.00039899086371703496,0.00064621225,0.0005756727538845203,0.00014895604,0.0
gene_11026,False,False,False,False,False,0,0.000992104265464599,0.0,0.00031658568124324094,0.0,0.0
gene_11566,False,False,False,False,False,0,0.003643895406731048,0.00019237741,0.0011686846965697057,0.0035552236,0.0
gene_15987,False,False,False,False,False,0,0.0013931317749415581,4.1734373e-05,0.0007764679016772841,0.00071689603,0.0
gene_14818,False,False,False,False,False,0,0.0002323655231511286,0.00055695063,0.00027016786698657723,0.0001321872,0.0
gene_16131,False,False,False,False,False,0,0.006084872181855063,0.0,0.002554447068431947,0.0,0.0
gene_8597,False,False,False,False,False,0,0.0009291377489845594,0.00017499752,0.00038758133424339567,0.00043183102,0.0
gene_5577,False,False,False,False,False,0,0.0025797655874169267,0.0009601139,0.0014197538343984856,0.0008585273,0.0
gene_3695,False,False,False,False,False,0,0.005114464558231878,0.0013112241,0.001699398706467054,0.0029170658,0.0
gene_16130,False,False,False,False,False,0,0.005146533960186133,0.0,0.0021748610210847795,0.0,0.0
gene_8941,False,False,False,False,False,0,0.007704567052204871,3.6869187e-05,0.0020408159925845042,5.5854656e-05,0.0
gene_16392,False,False,False,False,False,0,0.0026169565324581177,0.00015641129,0.0012051525696032425,0.0007945357,0.0
gene_15583,False,False,False,False,False,0,0.004570739128046959,0.0007403544,0.001660674445101691,0.001336028,0.0
gene_16156,False,False,False,False,False,0,0.00010554099126613615,0.0,0.00011919685712297019,0.0,-0.000528925619834697
gene_16115,False,False,False,False,False,0,3.8588011001694636e-05,0.0001158038,0.00010653351300134242,0.00048427153,0.0
gene_14177,False,False,False,False,False,0,0.0012706196381266368,0.0,0.0005291092461921431,0.0,0.0
gene_6816,False,False,False,False,False,0,0.009357245665569907,0.0,0.003617974604430967,0.0,0.0
gene_18290,False,False,False,False,False,0,0.008984770293543326,0.0,0.0035736137906299784,0.0,0.0
gene_16342,False,False,False,False,False,0,0.0033136736137534158,0.00066390034,0.0012586602152676908,0.0031932937,0.0
gene_9214,False,False,False,False,False,0,0.0010865358982564703,0.0,0.0004135183948018479,0.0,0.0
gene_13916,False,False,False,False,False,0,6.0043960482665835e-05,2.9344536e-05,0.00011770518002125203,0.00049863633,0.0
gene_11124,False,False,False,False,False,0,0.004056042888746587,0.0015871153,0.0025668866901647166,0.004573321,0.0
gene_8616,False,False,False,False,False,0,0.0025568465917494092,0.0,0.0013853949754818486,0.0,0.0
gene_18636,False,False,False,False,False,0,0.004242337046290936,0.0,0.002025924110442197,0.0,0.0
gene_6734,False,False,False,False,False,0,0.005272030451782916,0.00054156384,0.0019859571681896723,0.0008456148,0.0
gene_17771,False,False,False,False,False,0,0.0007281337606782007,5.8362348e-05,0.000461573913872044,0.0012936819,0.0
gene_2774,False,False,False,False,False,0,0.00167195284955953,6.0882096e-05,0.0009482612215552157,0.002277618,0.0
gene_18091,False,False,False,False,False,0,0.0060682259232953195,9.608866e-06,0.0024858135736713152,0.00045260738,0.0
gene_18333,False,False,False,False,False,0,6.924609925852645e-05,0.0,0.00023198547348276995,0.0,0.0
gene_11352,False,False,False,False,False,0,0.0036695005774716803,5.0397302e-05,0.0015288609914967883,0.00089261285,0.0
gene_7932,False,False,False,False,False,0,0.0007577740518874063,0.00025645157,0.0003532072948617358,0.0025165493,0.0
gene_15897,False,False,False,False,False,0,0.007173327646101486,0.0001710136,0.0026659240051642445,0.00083264743,0.0
gene_16169,False,False,False,False,False,0,2.3202134274548007e-06,0.0,1.259649130286567e-05,0.0,0.0
gene_15633,False,False,False,False,False,0,0.002314432202594816,0.00024387758,0.0009206408357550488,0.0022088853,0.0
gene_7623,False,False,False,False,False,0,0.0026399305340976476,0.00035440177,0.0012846634594622225,0.008941425,0.0
gene_17751,False,False,False,False,False,0,0.006347788489586599,4.729204e-05,0.0024344109686191945,0.00030698156,0.0
gene_7625,False,False,False,False,False,0,0.0024187618110256505,0.0,0.0007792580340180377,0.0,0.0
